dataset,seed,pipe,M1_nll,M2_mmd,M3_marg_w1,M4_c2st,acc,f1,ece
EEG,3,knn+winsor+quantile,0.3244237601757049,0.0863427380818318,0.2939504570324896,0.4778333862582947,0.8608058608058609,0.8580062536499902,0.0234386795024149
EEG,3,knn+winsor+quantile+zscore,0.3249125778675079,0.0863427380818318,0.2939504570324896,0.4778333862582947,0.8644688644688645,0.8616943428088939,0.0178241953890547
EEG,4,mean,0.4482405483722687,0.2663021883606333,0.4843404632602253,0.5108983179801251,0.7851037851037851,0.7826511779394203,0.0257761119631766
EEG,4,mean+zscore,0.4458446800708771,0.2663021883606332,0.4843404632602256,0.5108983179801251,0.7863247863247863,0.7838290722560659,0.0170811522429097
EEG,4,mean+winsor,0.458317756652832,0.0223672899403404,0.1342192544197691,0.5029660341015653,0.7667887667887668,0.764064873148049,0.0279497424179235
EEG,4,mean+winsor+zscore,0.4544328153133392,0.0223672899403403,0.1342192544197685,0.5029660341015653,0.7753357753357754,0.7731165311653116,0.026527059311104
EEG,4,mean+yeojohnson+zscore,0.4552518427371979,0.1147289368289614,0.3292811202511015,0.5035593900062765,0.7826617826617827,0.7808237713790864,0.0230113321753794
EEG,4,mean+winsor+yeojohnson,0.5082342624664307,0.3153450316064488,0.6589316641606079,0.4999575109465219,0.7716727716727717,0.7673214152779402,0.0836137817019507
EEG,4,mean+winsor+yeojohnson+zscore,0.4561730325222015,0.021930847982287,0.1331358333903956,0.5031896606988183,0.7692307692307693,0.7665353980365511,0.0289732778174245
EEG,4,mean+quantile,0.4365884959697723,0.0217505788586782,0.0265329935144627,0.5024695830556637,0.7826617826617827,0.7800645706354474,0.0287573641764229
